CW DISTRICT  OFFICES
Sutherland Elem School
Swift Elem School
Taft High School
Talcott Elem School
Talman Comm. Elem. School
Tanner Elem School
Tarkington Sch of Excellence
Taylor Elem School
Telpochcalli  Elem. School
Thomas Early Chld Ctr
Thorp, J. N. Elem School
Thorp, O. A. Scholastic Acad
Tilden High School
Till Math and Science Academy
Tilton Elem School
Tubman, H Elem School
Turner-Drew Language Academy
Twain Elem School
UPLIFT Community School
Vanderpoel Magnet School
Vaughn Occ High School
Vick Early Chld & Fam Center
Virtual Academy
Volta Elem School
Von Steuben Metro High School
Wacker Elem School
Wadsworth Elem School
Walsh Elem School
Ward, J. Elem School
Ward, L. Elem School
Warren Elem School
Washington, G. Elem School
Washington, G. High School
Washington, Harold Elem. Sch.
Waters Elem School
Webster Elem School
Wells Comm Acad High School
Wells Preparatory School
Wentworth Elem School
West Park Acad Fine Arts & Tec
West Ridge Elementary School
Westcott Elem School
Westinghouse College Prep.
Whistler Elem School
White Academy
Whitney Elem School
Whittier Elem School
Wildwood Elem School
Williams Prep. Sch. of Med
Woodlawn Community
Woodson Elem Sch.
World Language School
Yates Elem School
York Alternative High School
Young Elem School
Young Magnet High School
Zapata Academy
CHARTER SCHOOLS
Chicago High School for the Arts
Epic Academy Charter High School
Instituto Health Science Career Academy-Charter
Ellison Charter High School
Pantoja Charter High School
Association House Charter High School
Paz Charter Campus
Clemente Charter Elem School
Cruz Charter Elem & HS
Soto Charter High School
Passages Charter School
Northtown Charter High School
Early College Charter High School
Aspira Business & Finance Charter HS
Namaste Charter School
Haugan Charter Middle School
Wrightwood Charter Elem School
Tamayo Charter Elem School
Casas Charter Elem School
Fuentes Charter Elem School
Garcia Charter High School
Zizumbo Charter Elem School
Torres Charter Elem School
Marquez Charter Elem School
Cisneros Charter Elem School
Idar Charter Elem School
Urban Prep Englewood Campus
Urban Prep Bronzeville Campus
Santiago Charter Elem School
Brighton Park Charter Elem School
Latino Youth Charter High School
Youth Connection Leadership Acad. Charter
Christopher House Charter Elem School
Instituto Justice Leadership Acad. Charter
