PointInTimeDt,Pos #,FTE,ClsInd,JobCd,Job Title,Union,Dept ID,Department,Dept,DeptType,Network,Network2,Zipcode,Type,Special Ed,Bilingual,Science,Math,Arts,Early Childhood,Physical Ed,Counselor,Clinician,Library,World Language,JobProfileDesc
8/21/2024,142746,1,Tchr,500629,Special Education Teacher,CTU,25091,Reavis Math and Science,Reavis,School-Based,Network 09,Network 09,60615,Spec EdEarlyChildhood,Spec Ed,,,,,EarlyChildhood,,,,,,PreK-3 SPED LBS
8/21/2024,440997,1,Tchr,49,Regular Teacher,CTU,25111,Peter A Reinberg School,Reinberg,School-Based,Network 01,Network 01,60634,,,,,,,,,,,,,4-5 REG Gen Ed
8/21/2024,421590,1,Tchr,49,Regular Teacher,CTU,25121,Paul Revere Elem,Revere,School-Based,Network 12,Opp Schools FY19-24,60619,,,,,,,,,,,,,PreK-3 REG Gen Ed
8/21/2024,612648,1,Tchr,600755,Lead Coach,CTU,25121,Paul Revere Elem,Revere,School-Based,Network 12,Opp Schools FY19-24,60619,,,,,,,,,,,,,
8/21/2024,609471,1,Tchr,49,Regular Teacher,CTU,25121,Paul Revere Elem,Revere,School-Based,Network 12,Opp Schools FY19-24,60619,,,,,,,,,,,,,PreK-3 REG Gen Ed
8/21/2024,614229,1,Tchr,49,Regular Teacher,CTU,25121,Paul Revere Elem,Revere,School-Based,Network 12,Opp Schools FY19-24,60619,Arts,,,,,Arts,,,,,,,K-8 REG Fine Arts
8/21/2024,596945,1,Tchr,49,Regular Teacher,CTU,25141,Philip Rogers School,Rogers,School-Based,Network 02,Network 02,60645,,,,,,,,,,,,,6-8 REG English/LA
8/21/2024,624334,1,Tchr,600755,Lead Coach,CTU,25151,Cesar Chavez Multicultural Ac,Chavez,School-Based,ISP,Opp Schools FY25,60609,,,,,,,,,,,,,
8/21/2024,132651,1,Tchr,500629,Special Education Teacher,CTU,25191,Ryder Math and Science,Ryder,School-Based,Network 11,Opp Schools FY19-24,60620,Spec Ed,Spec Ed,,,,,,,,,,,PreK-3 SPED LBS
8/21/2024,613867,1,Tchr,49,Regular Teacher,CTU,25191,Ryder Math and Science,Ryder,School-Based,Network 11,Opp Schools FY19-24,60620,Arts,,,,,Arts,,,,,,,K-8 REG Fine Arts
8/21/2024,522814,1,Tchr,49,Regular Teacher,CTU,25191,Ryder Math and Science,Ryder,School-Based,Network 11,Opp Schools FY19-24,60620,,,,,,,,,,,,,PreK-3 REG Gen Ed
8/21/2024,488506,1,Tchr,500629,Special Education Teacher,CTU,25191,Ryder Math and Science,Ryder,School-Based,Network 11,Opp Schools FY19-24,60620,Spec Ed,Spec Ed,,,,,,,,,,,6-8 SPED LBS
8/21/2024,609044,1,Tchr,49,Regular Teacher,CTU,25191,Ryder Math and Science,Ryder,School-Based,Network 11,Opp Schools FY19-24,60620,,,,,,,,,,,,,4-5 REG Gen Ed
8/21/2024,638424,1,Tchr,500629,Special Education Teacher,CTU,25191,Ryder Math and Science,Ryder,School-Based,Network 11,Opp Schools FY19-24,60620,Spec Ed,Spec Ed,,,,,,,,,,,"4-5 SPED LBS, 6-8 SPED LBS"
8/21/2024,639425,1,Tchr,49,Regular Teacher,CTU,25191,Ryder Math and Science,Ryder,School-Based,Network 11,Opp Schools FY19-24,60620,,,,,,,,,,,,,PreK-3 REG Gen Ed
8/21/2024,638423,1,Tchr,500629,Special Education Teacher,CTU,25191,Ryder Math and Science,Ryder,School-Based,Network 11,Opp Schools FY19-24,60620,Spec Ed,Spec Ed,,,,,,,,,,,"4-5 SPED LBS, 6-8 SPED LBS"
8/21/2024,673299,1,Tchr,49,Regular Teacher,CTU,25211,Sauganash School,Sauganash,School-Based,Network 01,Network 01,60646,,,,,,,,,,,,,6-8 REG English/LA
8/21/2024,620378,1,ESP,505051,Restorative Justice Coord,CTU,25231,Sidney Sawyer School,Sawyer,School-Based,Network 08,Network 08,60632,,,,,,,,,,,,,
