dept_id,short_name,school_id,ctu_name,type,address,zip,grade_category,es_network,ctu_network,cps_network,ward,county_dist,congress,house,senate,community_area,community_name,community_side,planning_zone
22231,BELL,609799,Bell Elem School,Regional gifted center,3730 N OAKLEY AVE,60618,ES,4,04A,4,47,12,5,11,6,5,NORTH CENTER,North Side,Logan-Lincoln Park
26771,BELMONT-CRAGIN,609922,Belmont-Cragin Comm. Elem. Sch,Small,6112 W FULLERTON AVE,60639,ES,3,03A,3,36,8,3,3,2,19,BELMONT CRAGIN,Northwest Side,Belmont-Austin
22241,BENNETT,609800,Bennett Elem School,Neighborhood,10115 S PRAIRIE AVE,60628,ES,13,13A,13,9,5,2,34,17,49,ROSELAND,Far Southeast Side,Far South Side - Far East Side
29381,BLACK,610350,Black Magnet,Magnet,9101 S EUCLID AVE,60617,ES,12,12A,12,8,4,1,33,17,48,CALUMET HEIGHTS,Far Southeast Side,Chatham-South Shore
22261,BLAINE,609803,Blaine Elem School,Neighborhood,1420 W GRACE ST,60613,ES,4,04C,4,46,10,5,13,7,6,LAKE VIEW,North Side,Logan-Lincoln Park
30071,BLAIR,610087,Blair Spec. Ed. Facility,Special Education,6751 W 63RD PL,60638,ES,10,10A,10,13,11,6,22,11,64,CLEARING,Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
46041,BOGAN HS,609698,Bogan High School,Neighborhood,3939 W 79TH ST,60652,HS,10,16,16,18,11,1,32,16,70,ASHBURN,Far Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
25941,BOND,610238,Bond Elem School,Neighborhood,7050 S MAY ST,60621,ES,11,11C,11,16,2,7,32,16,68,ENGLEWOOD,Southwest Side,Englewood-Auburn Gresham
22371,BOUCHET,609815,Bouchet Math & Science Academy,Neighborhood,7355 S JEFFERY BLVD,60649,ES,12,12A,12,7,4,1,26,13,43,SOUTH SHORE,South Side,Chatham-South Shore
46491,BOWEN HS,610323,Bowen High School,Small,2710 E 89TH ST,60617,HS,12,17,17,7,4,1,25,13,46,SOUTH CHICAGO,Far Southeast Side,Chatham-South Shore
22291,BRADWELL,609806,Bradwell Elem School,Neighborhood,7736 S BURNHAM AVE,60649,ES,12,AUSL-S,12,7,4,2,25,13,43,SOUTH SHORE,South Side,Chatham-South Shore
25991,BRENNEMANN,610242,Brennemann Elem School,Neighborhood,4251 N CLARENDON AVE,60613,ES,2,02B,2,46,10,9,11,6,3,UPTOWN,Far North Side,Ravenswood
22311,BRENTANO,609809,Brentano Math & Sci Academy,Neighborhood,2723 N FAIRFIELD AVE,60647,ES,4,04C,4,1,8,3,39,20,22,LOGAN SQUARE,North Side,Logan-Lincoln Park
22321,BRIDGE,609810,Bridge Elem School,Neighborhood,3800 N NEW ENGLAND AVE,60634,ES,1,01A,1,38,9,3,19,10,17,DUNNING,Northwest Side,Saug-ReedDunning-AlbanyPk
22331,BRIGHT,609811,Bright Elem School,Neighborhood,10740 S CALHOUN AVE,60617,ES,13,13B,13,10,4,2,33,17,51,SOUTH DEERING,Far Southeast Side,Far South Side - Far East Side
66602,ACERO - BRIGHTON PARK,400153,Brighton Park Charter Elem School,Charter,4420 S FAIRFIELD AVE,60632,ES,8,CTUA1,8,12,7,4,23,12,58,BRIGHTON PARK,Southwest Side,McKinley Park
26451,BRIGHTON PARK,610317,Brighton Park Elem,Neighborhood,3825 S WASHTENAW AVE,60632,ES,8,08A,8,12,7,4,24,12,58,BRIGHTON PARK,Southwest Side,McKinley Park
26181,BRONZEVILLE CLASSICAL,610590,Bronzeville Classical,Classical,8 W ROOT ST,60609,ES,9,09A,9,3,2,7,5,3,38,GRAND BOULEVARD,South Side,Bronzeville-Hyde Park-Woodlawn
55191,BRONZEVILLE HS,610381,Bronzeville Scholastic,Small,4934 S WABASH AVE,60615,HS,9,17,17,3,3,7,5,3,38,GRAND BOULEVARD,South Side,Bronzeville-Hyde Park-Woodlawn
47051,BROOKS HS,609726,Brooks College Prep H.S.,Selective enrollment,250 E 111TH ST,60628,HS,13,17,17,9,5,2,28,14,49,ROSELAND,Far Southeast Side,Far South Side - Far East Side
24631,BROWN R,610091,"Brown, R. Community Academy",Neighborhood,12607 S UNION AVE,60628,ES,13,13A,13,9,5,1,28,14,53,WEST PULLMAN,Far Southeast Side,Far South Side - Far East Side
22351,BROWN W,609812,"Brown, W. Elem School",Neighborhood,54 N HERMITAGE AVE,60612,ES,6,06A,6,27,2,7,10,5,28,NEAR WEST SIDE,West Side,Near N-Near W-Loop-BridgePort-Chinatown
22361,BROWNELL,609813,Brownell Elem School,Neighborhood,6741 S MICHIGAN AVE,60637,ES,12,12A,12,6,2,1,6,3,69,GREATER GRAND CROSSING,South Side,Chatham-South Shore
22491,BRUNSON,609830,Brunson Specialty School,Neighborhood,932 N CENTRAL AVE,60651,ES,3,03B,3,29,1,7,78,39,25,AUSTIN,West Side,Belmont-Austin
22391,BUDLONG,609817,Budlong Elem School,Neighborhood,2701 W FOSTER AVE,60625,ES,2,02B,2,40,12,5,13,7,4,LINCOLN SQUARE,North Side,Ravenswood
22401,BURBANK,609818,Burbank Elem School,Neighborhood,2035 N MOBILE AVE,60639,ES,3,03A,3,29,8,7,4,2,19,BELMONT CRAGIN,Northwest Side,Belmont-Austin
22411,BURKE,609819,Burke Elem School,Neighborhood,5356 S KING DR,60615,ES,9,09B,9,3,2,7,5,3,40,WASHINGTON PARK,South Side,Bronzeville-Hyde Park-Woodlawn
22421,BURLEY,609820,Burley Elem School,Neighborhood,1630 W BARRY AVE,60657,ES,4,04C,4,32,12,5,11,6,6,LAKE VIEW,North Side,Logan-Lincoln Park
22431,BURNHAM,609821,Burnham Elem School,Neighborhood,9928 S CRANDON AVE,60617,ES,13,13B,13,7,4,1,33,17,51,SOUTH DEERING,Far Southeast Side,Far South Side - Far East Side
29021,BURNSIDE,609827,Burnside Scholastic Academy,Magnet,650 E 91ST PL,60619,ES,12,12B,12,8,4,1,34,17,44,CHATHAM,Far Southeast Side,Chatham-South Shore
22471,BURR,609828,Burr Elementary School,Neighborhood,1621 W WABANSIA AVE,60622,ES,6,06A,6,32,12,5,10,5,24,WEST TOWN,West Side,Near N-Near W-Loop-BridgePort-Chinatown
22481,BURROUGHS,609829,Burroughs Elem School,Neighborhood,3542 S WASHTENAW AVE,60632,ES,8,08A,8,12,7,4,24,12,58,BRIGHTON PARK,Southwest Side,McKinley Park
22501,BYRNE,609832,Byrne Elem School,Neighborhood,5329 S OAK PARK AVE,60638,ES,10,10A,10,23,16,6,21,11,56,GARFIELD RIDGE,Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
26821,CALMECA,610353,Calmeca Academy of Fine Arts,Small,3456 W 38TH ST,60632,ES,8,08A,8,12,7,4,23,12,58,BRIGHTON PARK,Southwest Side,McKinley Park
22531,CAMERON,609835,Cameron Elem School,Neighborhood,1234 N MONTICELLO AVE,60651,ES,5,05A,5,36,8,3,4,2,23,HUMBOLDT PARK,West Side,Humboldt Park-Garfield W-N Lawndale
22691,CAMRAS,610539,Camras Elementary School,Neighborhood,3000 N MANGO AVE,60634,ES,3,03A,3,30,8,3,3,2,19,BELMONT CRAGIN,Northwest Side,Belmont-Austin
22541,CANTY,609836,Canty Elem School,Neighborhood,3740 N PANAMA AVE,60634,ES,1,01A,1,38,9,3,20,10,17,DUNNING,Northwest Side,Saug-ReedDunning-AlbanyPk
24051,CARDENAS,610024,Cardenas Elem School,Neighborhood,2345 S MILLARD AVE,60623,ES,7,07A,7,22,7,4,23,12,30,SOUTH LAWNDALE,West Side,Pilsen-Little Village
22551,CARNEGIE,609837,Carnegie Elem School,Regional gifted center,1414 E 61ST PL,60637,ES,9,09B,9,5,3,1,26,13,42,WOODLAWN,South Side,Bronzeville-Hyde Park-Woodlawn
22571,CARROLL,609839,Carroll Elem School,Neighborhood,2929 W 83RD ST,60652,ES,10,10B,10,18,3,1,31,16,70,ASHBURN,Far Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
22601,CARSON,609842,Carson Elementary School,Neighborhood,5516 S MAPLEWOOD AVE,60629,ES,8,08B,8,15,11,4,1,1,63,GAGE PARK,Southwest Side,McKinley Park
22611,CARTER,609844,Carter Elem School,Neighborhood,5740 S MICHIGAN AVE,60637,ES,9,AUSL-S,9,20,2,7,5,3,40,WASHINGTON PARK,South Side,Bronzeville-Hyde Park-Woodlawn
22621,CARVER G,609845,Carver Elem. School,Neighborhood,901 E 133RD PL,60827,ES,13,13B,13,10,5,2,29,15,54,RIVERDALE,Far Southeast Side,Far South Side - Far East Side
46381,CARVER MILITARY HS,609760,Carver Military Academy,Military academy,13100 S DOTY AVE,60827,HS,13,17,17,10,4,2,34,17,54,RIVERDALE,Far Southeast Side,Far South Side - Far East Side
24011,CASALS,610021,Casals Elementary School,Neighborhood,3501 W POTOMAC AVE,60651,ES,5,AUSL-W,5,26,8,3,4,2,23,HUMBOLDT PARK,West Side,Humboldt Park-Garfield W-N Lawndale
66392,ACERO - DE LAS CASAS,400081,Casas Charter Elem School,Charter,1641 W 16TH ST,60608,ES,7,CTUA1,7,25,7,4,24,12,31,LOWER WEST SIDE,West Side,Pilsen-Little Village
22651,CASSELL,609849,Cassell Elem School,Neighborhood,11314 S SPAULDING AVE,60655,ES,10,10C,10,19,11,6,35,18,74,MOUNT GREENWOOD,Far Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
26021,CATHER,610251,Cather Elem School,Neighborhood,2908 W WASHINGTON BLVD,60612,ES,5,05A,5,27,1,7,10,5,27,EAST GARFIELD PARK,West Side,Humboldt Park-Garfield W-N Lawndale
22671,CHALMERS,609851,Chalmers Elem School,Neighborhood,2745 W ROOSEVELT RD,60608,ES,5,AUSL-W,5,28,2,7,9,5,29,NORTH LAWNDALE,West Side,Humboldt Park-Garfield W-N Lawndale
22681,CHAPPELL,609852,Chappell Achieve. Skills Cntr.,Neighborhood,2135 W FOSTER AVE,60625,ES,2,02B,2,40,12,9,13,7,4,LINCOLN SQUARE,North Side,Ravenswood
22701,CHASE,609853,Chase Elem School,Neighborhood,2021 N POINT ST,60647,ES,4,04A,4,1,1,3,39,20,22,LOGAN SQUARE,North Side,Logan-Lincoln Park
25151,CHAVEZ,610148,Chavez Elem School,Neighborhood,4747 S MARSHFIELD AVE,60609,ES,8,08B,8,20,7,4,6,3,61,NEW CITY,Southwest Side,McKinley Park
45211,CHICAGO ACADEMY ES,610248,Chicago Academy,Small,3400 N AUSTIN AVE,60634,ES,1,AUSL-W,1,30,8,3,3,2,17,DUNNING,Northwest Side,Saug-ReedDunning-AlbanyPk
46481,CHICAGO ACADEMY HS,610340,Chicago Academy H.S.,Small,3400 N AUSTIN AVE,60634,HS,1,AUSL-W,14,30,8,3,3,2,17,DUNNING,Northwest Side,Saug-ReedDunning-AlbanyPk
47091,CHICAGO AGRICULTURE HS,609753,Chicago Agriculture H.S.,Magnet,3857 W 111TH ST,60655,HS,10,10C,10,19,11,1,35,18,74,MOUNT GREENWOOD,Far Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
63051,CHIARTS HS,400022,Chicago High School for the Arts,Charter,2714 W AUGUSTA BLVD,60622,HS,5,CTUA2,5,26,1,3,4,2,24,WEST TOWN,West Side,Humboldt Park-Garfield W-N Lawndale
70070,CHICAGO MILITARY HS,609754,Chicago Military Academy,Military academy,3519 S GILES AVE,60653,HS,9,17,17,3,3,1,5,3,35,DOUGLAS,South Side,Bronzeville-Hyde Park-Woodlawn
53011,CHICAGO VOCATIONAL HS,609674,Chicago Voc Career Academy,Career academy,2100 E 87TH ST,60617,HS,12,17,17,8,4,1,33,17,45,AVALON PARK,Far Southeast Side,Chatham-South Shore
29171,CHICAGO WORLD LANGUAGE ACADEMY,610060,Chicago World Language Acad.,Magnet,1340 W HARRISON ST,60607,ES,6,06B,6,34,2,7,9,5,28,NEAR WEST SIDE,West Side,Near N-Near W-Loop-BridgePort-Chinatown
22721,CHOPIN,609854,Chopin Elem School,Neighborhood,2450 W RICE ST,60622,ES,5,05A,5,36,1,3,4,2,24,WEST TOWN,West Side,Humboldt Park-Garfield W-N Lawndale
30031,CHRISTOPHER,609855,Christopher Elem School,Neighborhood,5042 S ARTESIAN AVE,60632,ES,8,08A,8,15,7,4,1,1,63,GAGE PARK,Southwest Side,McKinley Park
66661,CHRISTOPHER HOUSE,400159,Christopher House Charter Elem School,Charter,5235 W BELDEN AVE,60639,ES,3,CTUA2,3,36,8,3,3,2,19,BELMONT CRAGIN,Northwest Side,Belmont-Austin
66398,ACERO - CISNEROS,400101,Cisneros Charter Elem School,Charter,2744 W PERSHING RD,60632,ES,8,CTUA1,8,12,7,4,24,12,58,BRIGHTON PARK,Southwest Side,McKinley Park
31301,CLAREMONT,610347,Claremont Academy,Neighborhood,2300 W 64TH ST,60636,ES,10,10A,10,16,2,7,6,3,66,CHICAGO LAWN,Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
22191,CLARK ES,609795,Clark Elementary School,Neighborhood,1045 S MONITOR AVE,60644,ES,3,03B,3,29,1,7,8,4,25,AUSTIN,West Side,Belmont-Austin
41051,CLARK HS,610244,"Clark, M. Magnet High School",Magnet,5101 W HARRISON ST,60644,HS,3,15,15,29,1,7,8,4,25,AUSTIN,West Side,Belmont-Austin
22731,CLAY,609856,Clay Elem School,Neighborhood,13231 S BURLEY AVE,60633,ES,13,13B,13,10,4,2,33,17,55,HEGEWISCH,Far Southeast Side,Far South Side - Far East Side
66133,ACERO - CLEMENTE,400120,Clemente Charter Elem School,Charter,2050 N NATCHEZ AVE,60707,ES,3,CTUA1,3,29,8,3,4,2,19,BELMONT CRAGIN,Northwest Side,Belmont-Austin
51091,CLEMENTE HS,609759,Clemente Comm Acad High School,Neighborhood,1147 N WESTERN AVE,60622,HS,5,15,15,1,1,7,4,2,24,WEST TOWN,West Side,Humboldt Park-Garfield W-N Lawndale
22741,CLEVELAND,609857,Cleveland Elem School,Neighborhood,3121 W BYRON ST,60618,ES,1,01C,1,33,12,3,40,20,16,IRVING PARK,Northwest Side,Saug-ReedDunning-AlbanyPk
22751,CLINTON,609859,Clinton Elem School,Neighborhood,6110 N FAIRFIELD AVE,60659,ES,2,02A,2,50,13,9,15,8,2,WEST RIDGE,Far North Side,Ravenswood
22761,CLISSOLD,609861,Clissold Elem School,Neighborhood,2350 W 110TH PL,60643,ES,10,10C,10,19,11,1,35,18,75,MORGAN PARK,Far Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
26751,COLEMON,610199,Colemon Academy,Neighborhood,1441 W 119TH ST,60643,ES,13,13A,13,21,5,1,28,14,53,WEST PULLMAN,Far Southeast Side,Far South Side - Far East Side
22771,COLES,609862,Coles Elem School,Neighborhood,8441 S YATES BLVD,60617,ES,12,12A,12,7,4,1,33,17,46,SOUTH CHICAGO,Far Southeast Side,Chatham-South Shore
10875,College / Career Success,,College / Career Success,CW Department,,,,,,,,,,,,,,,
49131,COLLINS HS,610499,Collins  Academy,Small,1313 S SACRAMENTO DR,60623,HS,5,AUSL-W,15,24,2,7,9,5,29,NORTH LAWNDALE,West Side,Humboldt Park-Garfield W-N Lawndale
20071,COLUMBIA EXPLORERS,610170,Columbia Explorers Academy,Neighborhood,4520 S KEDZIE AVE,60632,ES,8,08A,8,12,7,4,23,12,58,BRIGHTON PARK,Southwest Side,McKinley Park
22801,COOK,609864,Cook Elem School,Neighborhood,8150 S BISHOP ST,60620,ES,11,11C,11,17,4,1,31,16,71,AUBURN GRESHAM,Far Southwest Side,Englewood-Auburn Gresham
22821,COONLEY,609866,Coonley Elem School,Regional gifted center,4046 N LEAVITT ST,60618,ES,2,02B,2,47,12,5,11,6,5,NORTH CENTER,North Side,Ravenswood
22831,COOPER,609867,Cooper Elem School,Neighborhood,1624 W 19TH ST,60608,ES,7,07B,7,25,7,4,24,12,31,LOWER WEST SIDE,West Side,Pilsen-Little Village
22851,CORKERY,609870,Corkery Elem School,Neighborhood,2510 S KILDARE AVE,60623,ES,7,07A,7,22,7,4,23,12,30,SOUTH LAWNDALE,West Side,Pilsen-Little Village
46391,CORLISS HS,609761,Corliss High School,Neighborhood,821 E 103RD ST,60628,HS,13,17,17,9,4,2,34,17,50,PULLMAN,Far Southeast Side,Far South Side - Far East Side
10855,Counseling / Postsec Ad CW,,Counseling / Postsec Ad CW,CW Department,,,,,,,,,,,,,,,
30141,COURTENAY,610355,Courtenay Elem School,Small,4420 N BEACON ST,60640,ES,2,02B,2,46,10,9,13,7,3,UPTOWN,Far North Side,Ravenswood
46641,CRANE MEDICAL HS,610561,Crane Medical Prep H.S.,Magnet,2245 W JACKSON BLVD,60612,HS,6,15,15,27,2,7,9,5,28,NEAR WEST SIDE,West Side,Near N-Near W-Loop-BridgePort-Chinatown
31041,CROWN,609873,Crown Comm Academy,Neighborhood,2128 S SAINT LOUIS AVE,60623,ES,5,05B,5,24,2,7,9,5,29,NORTH LAWNDALE,West Side,Humboldt Park-Garfield W-N Lawndale
66134,ACERO - DE LA CRUZ,400121,Cruz Charter Elem & HS,Charter,7416 N RIDGE BLVD,60645,ES,2,CTUA1,2,49,13,9,14,7,2,WEST RIDGE,Far North Side,Ravenswood
23881,CUFFE,610003,"Cuffe Math, Sci & Tech Acad",Neighborhood,8324 S RACINE AVE,60620,ES,11,11C,11,17,4,1,31,16,71,AUBURN GRESHAM,Far Southwest Side,Englewood-Auburn Gresham
23891,CULLEN,610004,Cullen Elem School,Neighborhood,10650 S EBERHART AVE,60628,ES,13,13A,13,9,5,2,34,17,49,ROSELAND,Far Southeast Side,Far South Side - Far East Side
53101,CURIE HS,609756,Curie Metro High School,Magnet,4959 S ARCHER AVE,60632,HS,8,15,15,14,7,4,1,1,57,ARCHER HEIGHTS,Southwest Side,McKinley Park
23061,CURTIS,609900,Curtis Elem School,Neighborhood,32 E 115TH ST,60628,ES,13,AUSL-S,13,9,5,2,28,14,49,ROSELAND,Far Southeast Side,Far South Side - Far East Side
22511,DAISY BATES,609833,Daisy Bates Acad. of Soc. Justice (formerly Caldwell),Neighborhood,8546 S CREGIER AVE,60617,ES,12,12A,12,8,4,1,33,17,45,AVALON PARK,Far Southeast Side,Chatham-South Shore
25951,DALEY,610239,Daley Academy,Neighborhood,5024 S WOLCOTT AVE,60609,ES,8,08B,8,20,7,4,6,3,61,NEW CITY,Southwest Side,McKinley Park
22881,DARWIN,609875,Darwin Elem School,Neighborhood,3116 W BELDEN AVE,60647,ES,4,04A,4,35,8,3,39,20,22,LOGAN SQUARE,North Side,Logan-Lincoln Park
29391,DAVIS M,610521,"Davis, M. Magnet Academy",Magnet,6740 S PAULINA ST,60636,ES,11,11C,11,16,2,7,32,16,67,WEST ENGLEWOOD,Southwest Side,Englewood-Auburn Gresham
22891,DAVIS N,609876,"Davis, N. Elem School",Neighborhood,3014 W 39TH PL,60632,ES,8,08A,8,12,7,4,23,12,58,BRIGHTON PARK,Southwest Side,McKinley Park
22901,DAWES,609879,Dawes Elem School,Neighborhood,3810 W 81ST PL,60652,ES,10,10B,10,18,11,1,32,16,70,ASHBURN,Far Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
29031,DECATUR,609880,Decatur Classical School,Classical,7030 N SACRAMENTO AVE,60645,ES,2,02A,2,50,13,9,16,8,2,WEST RIDGE,Far North Side,Ravenswood
22931,DENEEN,609883,Deneen Elem School,Neighborhood,7240 S WABASH AVE,60619,ES,12,AUSL-S,12,6,3,1,32,16,69,GREATER GRAND CROSSING,South Side,Chatham-South Shore
26631,DEPRIEST,610367,DePriest Elem School,Neighborhood,139 S PARKSIDE AVE,60644,ES,3,03B,3,29,1,7,8,4,25,AUSTIN,West Side,Belmont-Austin
26031,DETT,610252,Dett Elem School,Neighborhood,2131 W MONROE ST,60612,ES,6,06A,6,27,2,7,10,5,28,NEAR WEST SIDE,West Side,Near N-Near W-Loop-BridgePort-Chinatown
22941,DEVER,609884,Dever Elem School,Neighborhood,3436 N OSCEOLA AVE,60634,ES,1,01A,1,38,9,3,20,10,17,DUNNING,Northwest Side,Saug-ReedDunning-AlbanyPk
46521,DEVRY HS,610402,Devry Advantage,Magnet,1900 W LAWRENCE AVE,60640,HS,2,04A,14,47,10,5,13,7,4,LINCOLN SQUARE,North Side,Ravenswood
22951,DEWEY,609885,Dewey Elem School,Neighborhood,5415 S UNION AVE,60609,ES,8,AUSL-S,8,16,2,7,6,3,61,NEW CITY,Southwest Side,McKinley Park
31261,DE DIEGO,610313,Diego Comm Academy,Neighborhood,1313 N CLAREMONT AVE,60622,ES,5,05A,5,1,1,7,4,2,24,WEST TOWN,West Side,Humboldt Park-Garfield W-N Lawndale
22871,DIRKSEN,609874,Dirksen Elem School,Neighborhood,8601 W FOSTER AVE,60656,ES,1,01A,1,41,9,8,20,10,76,OHARE,Far North Side,Saug-ReedDunning-AlbanyPk
26921,DISNEY II ES,610515,Disney II,Magnet,3815 N KEDVALE AVE,60641,ES,1,14,14,30,8,5,19,10,16,IRVING PARK,Northwest Side,Saug-ReedDunning-AlbanyPk
26921,DISNEY II HS,610564,Disney II,Magnet,3900 N LAWNDALE AVE,60618,HS,1,14,14,45,8,3,40,20,16,IRVING PARK,Northwest Side,Saug-ReedDunning-AlbanyPk
29401,DISNEY,610363,Disney Magnet School,Magnet,4140 N MARINE DR,60613,ES,2,02B,2,46,10,9,11,6,3,UPTOWN,Far North Side,Ravenswood
